id,first_name,last_name,nationality,date_of_birth,expedition_id
38,Maridel,Lyston,Sweden,1939-02-01,6
52,Ursola,Corneliussen,Sweden,1965-08-26,7
136,Emelita,Gruszka,Sweden,1925-04-10,11
137,Herminia,Peagrim,Sweden,1945-09-20,11
138,Gisela,Laverock,Sweden,1945-09-08,11
139,Gusella,Verduin,Sweden,1908-07-28,11
140,Aaron,Petican,Sweden,1933-12-19,11
141,Mahmud,O'Sheils,Sweden,1942-09-20,11
142,Valenka,Burgher,Sweden,1937-10-30,11
143,Maridel,Lyston,Sweden,1939-02-01,11
144,Cyrille,Booij,Sweden,1949-06-03,11
145,Adore,Tyne,Sweden,1904-02-13,11
146,Randolph,Grindell,Sweden,1905-01-13,11
147,Rogerio,Akett,Sweden,1936-09-09,11
148,Janina,Smitham,Sweden,1940-05-12,11
149,Amelia,Fowells,Sweden,1929-08-24,11
192,Janina,Smitham,Sweden,1940-05-12,13
239,Adore,Tyne,Sweden,1904-02-13,17
